City,Population,Violent_crime,Murder_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
West Jefferson,"1,311",2,0,1,0,1,70,6,62,2,0
Whispering Pines,"3,385",0,0,0,0,0,31,3,28,0,0
Whiteville,"5,338",78,2,2,10,64,509,88,402,19,0
Wilkesboro,"3,491",15,0,4,2,9,229,12,204,13,2
Williamston,"5,217",66,1,6,3,56,348,80,260,8,2
Wilmington,"124,750",759,7,74,127,551,"3,593",771,"2,564",258,18
Wilson,"49,344",220,2,18,60,140,"1,545",364,"1,066",115,8
Windsor,"3,310",18,0,2,0,16,22,2,18,2,0
Winterville,"9,922",9,0,2,1,6,86,21,63,2,3
Wrightsville Beach,"2,550",30,0,7,2,21,96,15,77,4,1
Youngsville,"1,365",2,0,0,0,2,36,3,32,1,0
Zebulon,"5,814",24,0,1,6,17,234,24,199,11,1
